ID,FRECU,SALDO,CUPON,GOLD,DEBITOS,ECIV,SEXO,OCUP,EDAD,HIJOS,INGRESO
13404,0.00288194444444444,50,10,0,2,1,2,2,49,0,947
12915,0.00972222222222222,270,274.33,0,4,2,1,2,44,1,618
13169,0.0261574074074074,20,10,0,1,1,1,2,37,0,932
14681,0.514583333333333,40,20,0,2,1,2,2,24,0,812
11904,1,520,10,0,4,2,1,2,46,0,983
14597,1,160,91.4,0,4,1,2,2,45,0,841
14978,1,50,57.26,0,2,1,1,1,28,0,856
12463,1.01597222222222,70,78.12,0,3,2,2,1,39,0,983
12238,1.06736111111111,20,20,0,1,2,1,1,28,1,868
14200,1.07376543209877,235,12.9656756756757,0,4,2,1,1,42,0,905
10789,1.18168981481481,35,26.8666666666667,0,2,2,2,1,20,1,845
10115,1.43091362847222,75,10,0,2,1,2,1,26,0,909
11069,1.48217592592593,95,14.9475,0,3,2,1,1,24,1,771
13477,1.54809405193237,1935,22.9384324324324,0,4,1,2,1,43,0,4665
10475,1.57923000361926,3520,25.3602424242424,0,4,1,2,2,42,0,8210
11903,1.59071552096844,3012,24.849010989011,0,4,1,1,2,46,0,1409
13053,1.60949381690661,4125,37.0557516339869,0,4,2,2,2,45,1,9741
13673,1.71501262626263,305,11.1041071428571,0,3,2,2,1,31,1,613
12998,1.8399231678487,1695,35.5147368421053,0,4,2,1,2,45,1,5849
11851,1.87747222222222,155,12.1161538461538,0,3,1,2,1,32,0,881
12154,2,45,47.3,0,2,1,1,2,25,0,816
13037,2,10,10,0,1,2,2,1,26,1,871
12692,2.04472222222222,510,339.435,0,4,1,2,2,46,0,809
13726,2.10287742899851,9490,92.9244827586208,0,4,2,1,2,39,1,9577
14168,2.10694444444444,20,28.755,0,1,1,2,2,25,0,947
10847,2.12290402655945,1555,24.2901307189542,0,4,2,2,2,45,1,3961
11908,2.26964280380611,2550,27.5086936936937,0,4,2,1,1,45,0,2248
14866,2.28571428571429,55,14.375,0,3,1,2,2,24,0,835
10364,2.31931524547804,2615,33.5531868131868,0,4,1,1,1,44,0,6810
14703,2.32522357723577,6922,72.1074208144796,0,4,2,1,2,45,1,9752
11380,2.33764297385621,820,25.8978260869565,0,4,2,1,2,45,0,2284
10008,2.38943734217172,4045,48.4815384615384,0,4,2,1,1,44,0,5253
14075,2.45426889452905,18016,187.062850241546,0,4,2,1,2,44,0,9387
12608,2.45737847222222,480,22.8579591836735,0,4,2,2,1,46,0,1081
11339,2.46819444444444,255,31.875,0,4,2,1,2,43,1,1062
13137,2.46924428104575,4869,62.538813559322,0,4,2,2,2,47,0,9482
10649,2.51497076023392,3420,41.7688944723618,0,4,3,2,2,45,1,4317
13322,2.54621212121212,570,101.735833333333,0,4,2,1,2,45,0,814
10910,2.56978632478633,1330,49.0740909090909,0,4,1,1,2,44,0,2688
10613,2.61189128943759,2600,67.0046341463415,0,4,1,1,3,45,0,6370
10308,2.65255021971124,6630,76.0106735751295,0,4,2,1,2,42,0,9549
13495,2.73054337231969,1885,25.4903428571428,0,4,2,1,2,47,1,5578
14753,2.73402777777778,15,15,0,1,1,1,3,24,0,990
14433,2.75953782172002,2640,35.3098412698413,0,4,2,2,2,47,1,2659
12738,2.76876578282828,2130,40.6927067669173,0,4,2,2,2,43,1,861
13674,2.77671296296296,1965,57.3652631578947,0,4,2,2,2,42,1,3529
14718,2.8125408496732,445,16.1022641509434,0,3,1,2,1,37,0,1619
12578,2.81413277116402,4972,68.7613529411765,0,4,2,1,1,46,0,9429
12283,2.82279829545455,1045,26.6698876404494,0,4,2,1,2,44,0,1168
14844,2.85493138227513,2435,35.5575287356322,0,4,2,1,2,43,1,2447
11381,2.86801006504923,6546,91.6627950310559,0,4,2,1,2,43,1,9452
12881,2.89652777777778,70,79.905,0,3,3,1,2,24,0,872
10944,2.89861111111111,60,74.8,0,3,1,1,1,22,0,856
10933,2.91506696428571,3750,141.858245614035,0,4,2,1,1,44,1,6000
9431,2.93796435742972,5045,71.60875,0,4,2,1,2,43,1,7307
12771,2.96096014492754,2255,34.281975308642,0,4,2,1,1,45,1,8788
14815,2.96486722571628,11750,154.918888888889,0,4,2,1,2,45,1,7748
13996,2.96749228395062,415,30,0,4,2,2,3,40,1,826
13692,2.97152777777778,20,22.325,0,1,1,1,1,29,1,928
110024,2.9906746031746,40,10.5375,0,2,1,2,1,18,1,801
11465,3,80,15.1827272727273,0,3,3,1,3,25,0,540
12920,3,40,40,0,2,1,2,1,34,0,866
13165,3,45,45,0,2,1,2,2,25,0,861
11688,3.00115740740741,80,28.57,0,3,2,1,1,18,1,535
14349,3.01006944444444,50,43.25,0,2,2,2,1,38,1,925
13118,3.04869227994228,1985,31.8583125,0,4,2,1,2,46,1,6209
14622,3.06201477920228,2895,43.7925625,0,4,2,1,2,44,1,1798
13736,3.08419053819444,2290,79.3786153846154,0,4,2,1,2,44,1,3203
12301,3.09071684587814,6475,87.71325,0,4,1,1,2,46,1,8861
14404,3.12001061571125,5240,73.719018404908,0,4,2,1,2,41,0,7676
11359,3.13914473684211,1610,89.9292307692308,0,4,2,1,2,45,1,4988
10673,3.1489843159486,3770,54.2118954248366,0,4,2,1,2,44,1,806
11562,3.15626543209877,500,22.1897826086957,0,4,2,1,1,49,1,587
13284,3.18213252314815,730,34.7265306122449,0,4,2,2,2,45,1,2700
14149,3.18528001277139,10265,142.665466666667,0,4,2,1,3,45,1,9386
110098,3.20196835908756,5105,80.2660784313725,0,4,2,1,2,44,1,9682
14725,3.21815792905582,702,24.2345205479452,0,3,2,2,1,37,1,1688
13557,3.21988551051051,4555,69.5106,0,4,2,2,2,44,1,9555
10625,3.25669014084507,4380,67.5304109589041,0,4,2,1,2,43,1,8661
14963,3.27608024691358,60,12,0,3,1,2,1,34,0,560
12192,3.27991272522522,4620,76.4479220779221,0,4,1,2,2,46,0,9309
10703,3.28504988262911,1925,33.9711643835616,0,4,2,1,2,47,1,6790
10241,3.29022108843538,1705,43.130404040404,0,4,3,1,2,45,0,2179
13063,3.29355762012012,4490,68.5636184210526,0,4,2,2,2,45,1,9320
9538,3.32442868400315,5739,81.8827891156462,0,4,2,1,3,43,0,9739
13264,3.32896062271062,1825,47.06125,0,4,1,1,2,43,0,6249
14152,3.33612139917696,2987,49.351544117647,0,4,2,1,2,45,1,5055
11540,3.34793609168609,14580,213.311666666667,0,4,2,1,2,48,1,5287
11791,3.34988615664845,840,31.4322580645161,0,4,2,1,2,43,0,1204
14738,3.35820610687023,2280,35.497196969697,0,4,2,1,1,47,1,828
11232,3.38078141534392,355,25.7433333333333,0,3,2,2,1,33,1,585
10877,3.39675332383666,3080,62.754,0,4,2,2,2,41,1,8878
10526,3.39919082125604,1285,27.6687394957983,0,3,1,2,1,30,0,4789
11685,3.40146604938272,215,44.14,0,4,2,1,2,45,1,994
13755,3.41013328853047,360,18.1303125,0,4,2,1,2,43,0,916
13678,3.43090277777778,430,24.5042222222222,0,3,3,1,1,27,0,808
110003,3.45890151515152,313,52.4641666666667,0,4,2,2,2,47,1,984
14278,3.46178463319088,2934,53.5305147058824,0,4,1,2,2,46,0,5307
10503,3.46307043650794,4020,66.1294405594406,0,4,2,1,2,46,0,5761
11251,3.46789246632996,2345,39.4179411764706,0,4,2,1,2,46,0,541
13436,3.47082777777778,3810,67.231796875,0,4,2,2,2,43,1,2743
14969,3.47468614828332,2390,41.16,0,4,2,1,2,46,0,8852
12426,3.48900462962963,3885,75.0889473684211,0,4,2,1,2,43,0,9716
13260,3.49991619784341,841,26.533625,0,3,2,2,2,24,0,754
10242,3.50175925925926,325,21.6806451612903,0,3,1,2,2,39,0,957
13653,3.54016203703704,100,10,0,3,2,2,2,20,1,842
12856,3.54028906955736,6410,109.16753968254,0,4,2,1,2,46,0,9640
13026,3.55030006858711,1806,44.3390243902439,0,4,2,1,1,42,1,3799
13748,3.56190116324308,2785,55.2321487603306,0,4,2,1,2,44,1,3648
10515,3.56347777777778,1580,40.4990769230769,0,4,1,2,2,42,0,4088
14687,3.59112205955956,894,48.4373684210526,0,4,2,1,2,45,1,1344
12160,3.59692946623094,2175,48.3322641509434,0,4,2,1,2,47,1,5227
13189,3.59987189859763,785,17.2884615384615,0,3,1,2,2,30,0,1166
12891,3.61516203703704,505,42.7964,0,4,2,1,2,46,1,2294
11806,3.61800964187328,2823,50.745078125,0,4,2,2,2,47,1,6192
10374,3.62268871925361,3860,68.9082962962962,0,4,1,1,1,45,1,5256
10908,3.62777777777778,315,45.554,0,4,1,2,2,46,0,1309
13253,3.63743260327635,3160,58.8657894736842,0,4,2,2,2,45,1,9395
14647,3.64027217741935,2740,53.13624,0,4,2,2,2,48,0,2246
12934,3.64432961504812,4620,77.6774626865672,0,4,1,1,3,46,0,5350
12731,3.64695305770887,5580,93.8691791044776,0,4,2,1,2,47,0,9928
11702,3.66308922558923,3910,68.685671641791,0,4,1,2,2,44,0,7926
12741,3.6693287037037,615,50.72,0,4,2,1,1,43,0,2592
14437,3.67350780532599,3814,63.7073643410853,0,4,2,1,2,43,1,9502
13476,3.67420508879781,4952,44.5026984126984,0,4,1,1,2,42,0,9320
11345,3.67487373737374,966,45.3455555555556,0,4,2,1,2,44,1,3277
12628,3.72359326774691,660,65.572,0,4,2,1,1,47,1,2873
12890,3.75390795206972,960,21.9421904761905,0,3,1,1,2,25,0,1734
10057,3.75550130208333,3615,65.0720930232558,0,4,2,1,2,44,0,9985
14824,3.77261710239651,1875,39.7932710280374,0,4,2,1,2,43,1,7561
10217,3.77755341880342,1380,50.9368181818182,0,4,2,1,2,44,1,1481
12064,3.79240520282187,3980,69.6912213740458,0,4,2,2,2,45,0,9774
11006,3.79258919385656,4990,90.087734375,0,4,2,1,1,46,1,9766
11307,3.79845873683316,1315,28.845045045045,0,3,2,2,3,19,1,3410
10714,3.79933574879227,120,10.6625,0,2,3,2,1,22,0,899
14170,3.8,55,12,0,2,1,1,1,25,1,876
12284,3.8015589569161,820,34.917,0,4,2,1,2,44,1,816
13171,3.84193198005698,454,19.25,0,3,2,1,2,26,1,878
13104,3.85024092970522,3134,128.699,0,4,2,2,2,42,1,9768
13736,3.8879012345679,545,31.6984782608696,0,3,1,1,1,23,0,1418
14363,3.89114158950617,3797,74.4269841269842,0,4,2,1,2,44,1,2558
11440,3.8975462962963,1860,36.0151968503937,0,4,2,2,2,43,1,5396
11265,3.90897671568628,1225,42.9172463768116,0,4,2,1,2,41,1,3717
10837,3.91357012750455,6550,126.403984375,0,4,2,1,2,43,1,9599
11559,3.94287678767877,1070,20.0703846153846,0,3,1,2,1,22,0,1735
13981,3.97772481167608,2030,47.705,0,4,2,1,2,44,1,2313
